codmpio, idmc 
52696,30
52427,31
13458,31
52490,32
27025,32
52612,32
50350,32
19110,33
27660,33
52621,33
95200,34
27425,34
27450,34
50325,34
52390,34
52250,35
19418,35
5475,35
13549,35
27099,35
27495,35
86571,35
52520,35
18460,35
27250,35
18756,35
19809,36
19130,36
13810,36
52079,36
19318,36
86865,36
91540,36
52405,36
19780,36
54344,36
70265,36
27413,36
18785,37
5120,37
13030,37
27600,37
13655,37
70713,37
27430,37
13222,37
18205,37
19022,37
44560,37
52835,37
19821,37
27800,37
19785,37
13473,37
19364,38
19050,38
52678,38
27150,38
19392,38
19075,38
23090,38
5895,38
19397,38
27745,38
52565,38
19824,39
70678,39
27372,39
27075,39
13650,39
50450,39
73217,39
44847,39
52540,39
13074,39
15580,39
47960,39
27050,39
15533,39
19450,39
23682,39
15212,39
19622,39
19137,39
19473,39
13442,39
86757,40
27491,40
5495,40
15109,40
18410,40
13667,40
86569,40
19100,40
54670,40
68250,40
13490,40
50370,40
54398,40
70429,40
15442,40
27615,40
15681,40
19533,40
25885,40
15401,40
5790,40
5854,40
27073,40
23678,41
19701,41
18150,41
73043,41
95015,41
52256,41
19517,41
97161,41
52699,41
97001,41
25823,41
52473,41
27077,41
52435,41
13006,41
5040,41
47570,41
13873,41
25258,41
13670,41
13683,41
5842,41
19256,41
19693,41
5134,41
19355,41
20570,41
19585,42
54250,42
13600,42
15187,42
47707,42
54720,42
13244,42
23574,42
47798,42
52233,42
13744,42
86573,42
70124,42
15131,42
52254,42
19760,42
47170,42
47545,42
5093,42
70702,42
27810,42
99773,42
54800,42
70771,42
23815,42
47745,42
95025,42
19743,42
85279,42
27580,42
25506,42
25489,43
13673,43
23670,43
19212,43
73675,43
5107,43
13760,43
13580,43
23686,43
19532,43
13140,43
73152,43
68169,43
18860,43
23580,43
5647,43
44420,43
47660,43
13300,43
54810,43
23419,43
20310,43
25518,43
13212,43
47318,43
47161,43
13248,43
50711,43
50590,43
44430,43
23586,43
52036,43
27160,43
15778,43
52411,44
52694,44
25862,44
86320,44
70233,44
73067,44
25398,44
13780,44
44855,44
54109,44
47541,44
15223,44
5051,44
13268,44
5873,44
15476,44
73678,44
73616,44
99624,44
68298,44
13062,44
18256,44
52685,44
15531,44
15185,44
70523,44
54128,44
20787,44
68255,44
5038,44
76246,44
66456,44
70473,44
52110,44
18753,44
52019,44
19290,44
23675,44
18479,45
27135,45
68468,45
13894,45
47703,45
68020,45
19807,45
73686,45
25592,45
52051,45
85125,45
73504,45
85315,45
25148,45
68684,45
73352,45
19513,45
68152,45
15808,45
86760,45
99524,45
81065,45
52224,45
68686,45
13188,45
25807,45
54599,45
5361,45
68271,45
68673,45
70400,45
73624,45
25095,45
73770,45
44098,45
5659,45
99001,45
44090,45
54680,45
47205,45
73873,45
20175,46
86568,46
15377,46
5628,46
5885,46
68773,46
8549,46
41357,46
5890,46
54003,46
54347,46
52210,46
19142,46
25299,46
17665,46
47258,46
52354,46
25596,46
25878,46
54553,46
66383,46
68682,46
13647,46
25438,46
52560,46
73347,46
13433,46
68266,46
47245,46
47551,46
52687,46
13042,46
85400,46
47605,46
25168,46
27787,46
8141,46
25805,46
68498,46
47058,46
23570,46
23168,46
15600,46
52788,46
68780,46
25580,46
52215,46
50577,46
73555,46
70670,46
47980,46
25281,46
73622,46
18592,46
13654,46
18610,46
15810,47
52693,47
68377,47
15276,47
44110,47
15816,47
5055,47
5240,47
5642,47
41770,47
41799,47
25653,47
23500,47
15218,47
23855,47
54245,47
52381,47
13160,47
81591,47
5044,47
52022,47
66572,47
15664,47
73236,47
41359,47
41020,47
19300,47
15090,47
5543,47
15774,47
52786,47
52258,47
52203,47
15832,47
68160,47
25372,47
70230,47
81300,47
15368,47
15293,47
70418,47
73854,47
5091,47
54206,47
5234,47
15092,47
25524,47
70204,47
25841,48
68179,48
52260,48
68121,48
25120,48
13688,48
23464,48
5483,48
20295,48
19548,48
5480,48
23182,48
17272,48
25779,48
20517,48
76020,48
15762,48
52506,48
5138,48
15660,48
68425,48
73520,48
8421,48
15232,48
13838,48
23672,48
41676,48
18094,48
41006,48
76100,48
15135,48
5250,48
68669,48
73124,48
73483,48
52352,48
13657,48
97666,48
15106,48
15507,48
76054,48
17446,48
73563,48
68101,48
25777,48
52317,48
52585,48
52418,48
15897,48
25898,48
54239,48
70717,48
25491,48
73870,48
54174,49
8560,49
15480,49
73200,49
47692,49
47053,49
66687,49
15879,49
17662,49
25436,49
15621,49
8606,49
23555,49
85225,49
70708,49
25839,49
15550,49
41013,49
52399,49
27245,49
5665,49
68324,49
73226,49
8520,49
5501,49
68235,49
5761,49
52385,49
27361,49
94001,49
5819,49
41349,49
41483,49
25297,49
15763,49
50245,49
76863,49
70110,49
41801,49
52207,49
15494,49
5576,49
41548,49
50270,49
13052,49
68370,49
18029,49
68318,49
5847,49
54377,49
25594,49
70235,49
47030,49
68502,49
15632,49
25178,49
73319,49
68147,49
52320,49
15676,49
15542,50
70820,50
41791,50
44874,50
52885,50
76243,50
15820,50
68573,50
5125,50
54385,50
50330,50
15500,50
15183,50
52720,50
54125,50
25394,50
70823,50
41206,50
41078,50
20032,50
27205,50
52683,50
41306,50
70742,50
25645,50
23189,50
66594,50
68615,50
41503,50
15839,50
47720,50
5490,50
76250,50
17486,50
41660,50
18247,50
25797,50
68385,50
5353,50
15861,50
41319,50
47268,50
15204,50
73270,50
23300,50
25293,50
25867,50
54743,50
27006,50
17388,50
23807,50
5004,50
13440,50
54871,50
68368,50
50683,50
8832,50
17541,50
15764,50
47460,50
15686,50
68397,50
76823,50
50251,50
68464,51
15224,51
15511,51
66075,51
68820,51
95001,51
20750,51
5209,51
15761,51
41026,51
8372,51
8558,51
5411,51
13468,51
25599,51
52227,51
68209,51
8436,51
66045,51
25871,51
54172,51
25815,51
25535,51
47555,51
54223,51
17444,51
20383,51
54418,51
5670,51
25328,51
68327,51
15514,51
85136,51
5206,51
85015,51
5591,51
73030,51
15522,51
17088,51
13620,51
68572,51
68013,51
23417,51
68444,51
25335,51
5059,51
15317,51
73461,51
68770,51
76041,52
54313,52
5792,52
25224,52
15740,52
5467,52
15180,52
15842,52
5347,52
15097,52
25123,52
68720,52
23162,52
5837,52
68320,52
15667,52
5306,52
68549,52
41518,52
20228,52
54660,52
68190,52
5113,52
5656,52
25040,52
17524,52
76869,52
76377,52
25339,52
5031,52
15464,52
41378,52
68322,52
27001,52
41807,52
15638,52
15776,52
23068,52
73861,52
52378,52
15362,52
5390,52
70508,52
8849,52
63212,52
81794,52
73411,52
68418,52
19845,52
52240,52
25407,52
17616,52
76828,52
25658,52
5190,52
68051,52
15189,52
17433,52
20614,52
44650,52
76736,52
54520,52
76109,52
50400,53
47675,53
15022,53
25154,53
20443,53
15162,53
54480,53
85263,53
19698,53
25426,53
63302,53
5674,53
68229,53
52573,53
25019,53
5604,53
15325,53
17777,53
20238,53
15673,53
15380,53
25245,53
25781,53
15790,53
15296,53
20621,53
68745,53
8137,53
41016,53
25368,53
25530,53
5690,53
68162,53
44378,53
54051,53
5145,53
73275,53
23660,53
73055,53
76670,53
68500,53
66440,53
5313,53
52083,53
15798,53
47189,53
66088,53
5861,53
52287,53
25718,53
20178,53
17653,53
15537,53
5315,54
73026,54
85325,54
17867,54
41244,54
15835,54
68705,54
5736,54
5858,54
15114,54
81220,54
15804,54
68533,54
20550,54
25312,54
68207,54
8675,54
15403,54
15226,54
44279,54
17513,54
44078,54
41668,54
76233,54
76036,54
47288,54
50124,54
25851,54
25053,54
17050,54
25320,54
76318,54
81736,54
5856,54
15332,54
63190,54
41872,54
5585,54
86885,54
25662,54
68245,54
25288,54
25612,54
68217,54
15272,54
41132,54
85430,54
23079,54
15236,54
23350,54
5036,54
19455,54
68855,54
76890,54
15755,54
52356,54
17013,55
8433,55
54820,55
20013,55
85300,55
54261,55
91001,55
52323,55
5042,55
41524,55
8758,55
15248,55
41530,55
20770,55
15244,55
73585,55
76403,55
52838,55
70221,55
50287,55
68575,55
68264,55
76563,55
5197,55
15051,55
15696,55
68296,55
68524,55
25649,55
76275,55
76616,55
23466,55
20011,55
25845,55
15104,55
13836,55
17614,55
86755,55
8638,56
73408,56
13430,56
15690,56
8078,56
15720,56
25326,56
66318,56
25743,56
88000,56
20045,56
76606,56
17442,56
63548,56
70215,56
63111,56
68872,56
54099,56
25086,56
15425,56
15466,56
5652,56
15469,56
15172,56
73671,56
5679,56
15047,56
41298,56
8634,56
25772,56
5034,56
5282,56
73168,56
73148,56
68132,56
5893,56
25324,56
17042,57
25183,57
17877,57
25486,57
8685,57
68079,57
15455,57
76845,57
73547,57
50686,57
20060,57
73283,57
25488,57
5086,57
63401,57
63130,57
76497,57
5425,57
5002,57
68522,57
5789,57
15367,57
86219,57
76126,57
50110,57
25513,57
68344,57
63594,57
5649,58
44001,58
68689,58
5887,58
25745,58
15599,58
52480,58
19573,58
5142,58
25754,58
17873,58
17495,58
15518,58
54874,58
5660,58
76364,58
73443,58
20250,58
76122,58
5154,58
5756,58
50568,58
85250,58
25793,58
85230,59
5172,59
76113,59
41551,59
5368,59
15822,59
5310,59
63470,59
41797,59
41396,59
68176,59
50223,59
25402,59
76306,59
5147,59
15723,59
5150,59
50689,59
5658,59
5686,59
15753,59
8770,59
20710,59
41885,59
15693,60
50573,60
68406,60
68307,60
18001,60
8296,60
68167,60
68655,60
15215,60
54498,60
25386,60
5101,60
85162,60
25873,60
5579,60
63272,60
5030,60
86001,60
23001,60
25572,60
73024,60
25035,60
25483,60
5237,60
5284,60
68861,60
54405,61
5667,61
73349,61
76248,61
81001,61
25151,61
15322,61
15814,61
85139,61
44035,61
25785,61
68077,61
86749,61
68867,61
76895,61
5809,61
66170,61
50313,61
63690,62
15837,62
25875,62
25317,62
19001,62
25001,62
25279,62
25843,62
50680,62
5021,62
15806,62
54001,63
15407,63
15087,63
76400,63
5079,63
50226,63
25200,63
15572,63
25322,63
5364,63
68547,63
25099,63
66400,63
76892,63
15176,63
5045,63
50606,63
8573,63
15757,64
15646,64
68211,64
20001,64
85440,64
68092,64
70001,64
25295,64
25740,64
76622,64
66682,64
25260,64
54673,64
5264,64
5541,64
25290,65
25181,65
47001,65
15299,65
68432,65
13001,65
5664,65
5400,65
17380,65
5088,65
85410,65
54518,65
20400,66
41615,66
68679,66
50150,66
25736,66
25430,66
50001,66
5697,66
25769,66
25307,67
76130,67
85010,67
76147,67
73268,67
15491,67
68895,67
5212,68
25269,68
76834,68
68081,68
41001,68
76111,68
50318,68
5318,68
85001,69
17174,69
15516,69
50006,69
25175,70
5321,70
5380,71
25377,71
52001,71
63001,71
25799,71
25214,71
73449,71
25473,71
17001,71
25817,72
68276,72
15238,72
5360,72
5308,72
5440,72
5129,72
25899,73
73001,73
66001,73
76520,73
25286,73
5148,74
68755,74
25126,74
25758,74
5607,74
5376,75
15001,75
5631,76
8001,76
15759,77
5615,77
76001,80
68001,80
5266,81
11001,83
5001,83
